Trying to read excel file by admin at Mar 24, 2015, 10:26 am.
Trying to make database connection.
..connected.

1st sheet is consist of 906 rows.
..insert into mst_brand (name, division, description, created_by, created_date) values ('MOSH INC', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('MOST', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('MUTI', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('MOBILE POWER', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('MULIABATIK', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('MINIMAL', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('MOBSTER', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('MAP', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('MARK SPENCER', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('MRT', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('MAYESA', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('MF DESIGN', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('NADHIRA', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('NAFISA\'S', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('NATURAL', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('NATURE', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('NEU\'MOR', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('NOVEL MICE', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('NUANSA BTK', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('NULU', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('OMARA', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('OPELON', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('ORIZZA', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('OSMOSE', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('OSELLA LDS', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('OPUS ONE', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('PANELLI', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('PARADISE', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('PERMATA\'S', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('PIERRE CARDIN', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('POINT ONE', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('PRIVATELDS', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
